x,y,z
0.164132701,0.498184834,0.604976303
0.250969063,0.692844087,0.834069675
0.254684649,0.897143703,0.973824575
0.257836765,1.043313687,1.091093451
0.25899798,1.151988888,1.195595879
0.259994719,1.239248404,1.283180494
0.264766266,1.337187486,1.374988052
0.270362608,1.426479774,1.45665421
0.270276195,1.512391425,1.517331375
0.270674405,1.582243805,1.585645696
0.274443189,1.673465446,1.646059825
0.278332044,1.739992796,1.700603827
0.280301559,1.791812972,1.757495229
0.282886702,1.832968777,1.81602774
0.293257004,1.876463498,1.862347115
0.307892752,1.915025724,1.906498199
0.32123146,1.950078827,1.945764771
0.330261212,1.972675847,1.981534189
0.338817378,2.006344366,2.018149799
0.346019238,2.034782044,2.0421167
0.35090464,2.05618759,2.066994988
0.352788301,2.07260508,2.079324518
0.373773672,2.09549189,2.095985464
0.375649283,2.109859404,2.115884419
0.390595563,2.128125501,2.128248073
0.396716568,2.142661052,2.148535724
0.415695575,2.157906038,2.158033624
0.427678601,2.17042991,2.156500865
0.435237609,2.181070539,2.153756348
0.442579154,2.187118834,2.143638242
0.447444484,2.193259377,2.128337563
0.44853907,2.196244343,2.106135163
0.451242303,2.200360268,2.082435876
0.454136654,2.202067403,2.057831917
0.46647393,2.208753894,2.026109127
0.472695905,2.209162741,1.989414689
0.488418231,2.211739905,1.942679111
0.497059433,2.209325299,1.905471849
0.515487314,2.210011107,1.872019871
0.528691704,2.203060865,1.831476507
0.538421022,2.200618556,1.789265374
0.545627896,2.194878285,1.739364151
0.551014234,2.186823637,1.684062036
0.554764607,2.173855581,1.628344927
0.563982924,2.15742174,1.565865773
0.571191252,2.141895494,1.5086213
0.602150646,2.120486288,1.445372718
0.622370487,2.101555384,1.387885232
0.637413207,2.077879392,1.321435601
0.647357828,2.050868392,1.245329343
0.672514385,2.018234867,1.185623016
0.690064971,1.988285313,1.121323602
0.716006168,1.943805917,1.053806885
0.736032352,1.902220055,0.982749108
0.779930077,1.819757196,0.909248491
0.812149946,1.747762676,0.832444121
0.862032898,1.663695005,0.760007205
0.89605846,1.591043111,0.69282651
0.961306862,1.500335943,0.618582164
1.003894465,1.42664936,0.540307544
1.033292657,1.355519884,0.462201569
1.05643145,1.299652011,0.386304178
1.114841151,1.201853001,0.317724655
1.158881845,1.123645668,0.249848078
1.227700189,0.990498365,0.178620745
1.280174643,0.898453608,0.13046135
