t,x,y,z
0.01666667,0.05991113,1.63034616,1.08666576
0.03333333,0.06974822,1.63673222,1.08617907
0.05000000,0.07884749,1.68527864,1.10606041
0.06666667,0.08719801,1.74322825,1.13993508
0.08333333,0.09502953,1.81126916,1.18443084
0.10000000,0.10166606,1.87586464,1.23273493
0.11666670,0.10872099,1.93899197,1.28644949
0.13333330,0.11553665,2.00134394,1.34193089
0.15000000,0.12343661,2.06664041,1.39828287
0.16666670,0.13433695,2.12993382,1.45469600
0.18333330,0.14871639,2.19356644,1.51068833
0.20000000,0.16389305,2.25300737,1.56445021
0.21666670,0.18144777,2.31251122,1.61619944
0.23333330,0.19601580,2.36454940,1.66531024
0.25000000,0.20967412,2.41164648,1.71057220
0.26666670,0.22204728,2.45304708,1.75521218
0.28333330,0.23434075,2.49088458,1.79693108
0.30000000,0.24546753,2.52510116,1.83860223
0.31666670,0.25737842,2.55623780,1.87988017
0.33333330,0.27047858,2.58561209,1.91909455
0.35000000,0.28562406,2.61426512,1.95694031
0.36666670,0.29946938,2.64063153,1.99011908
0.38333330,0.31417092,2.66578943,2.01726291
0.40000000,0.32759528,2.68922849,2.04043250
0.41666670,0.34170354,2.71212334,2.06179339
0.43333330,0.35401583,2.73176467,2.07924994
0.45000000,0.36543563,2.74956516,2.09446925
0.46666670,0.37734584,2.76615405,2.10581696
0.48333330,0.39087773,2.78138697,2.11334865
0.50000000,0.40395301,2.79486950,2.11738337
0.51666670,0.41757478,2.80718837,2.11789164
0.53333330,0.42993274,2.81824126,2.11549440
0.55000000,0.44249376,2.82880324,2.11073738
0.56666670,0.45311048,2.83823458,2.10364477
0.58333330,0.46280255,2.84691737,2.09436565
0.60000000,0.47237944,2.85500269,2.08096934
0.61666670,0.48268989,2.86260455,2.06397843
0.63333330,0.49434113,2.86886112,2.04284089
0.65000000,0.50763870,2.87348329,2.01594673
0.66666670,0.52140507,2.87616114,1.98368916
0.68333330,0.53652733,2.87839627,1.95115274
0.70000000,0.54908427,2.87959836,1.92017225
0.71666670,0.55999492,2.87851253,1.88536379
0.73333330,0.57036155,2.87561786,1.84747651
0.75000000,0.58106561,2.87142571,1.80645105
0.76666670,0.59186843,2.86564729,1.76148569
0.78333330,0.60351366,2.85870859,1.71532330
0.80000000,0.61673042,2.85107965,1.66808131
0.81666670,0.63270027,2.84105590,1.61776510
0.83333330,0.64849979,2.82845020,1.56486550
0.85000000,0.66536298,2.81286656,1.51025967
0.86666670,0.68248264,2.79544642,1.45694577
0.88333330,0.70167720,2.77519072,1.40311089
0.90000000,0.71814686,2.75291624,1.34846483
0.91666670,0.73320678,2.72632317,1.29005942
0.93333330,0.74835948,2.69636468,1.22843750
0.95000000,0.76510349,2.66228549,1.16546738
0.96666670,0.78499974,2.62551096,1.10316956
0.98333330,0.80760026,2.58443237,1.03876329
1.00000000,0.83361160,2.54096534,0.97519930
1.01666700,0.86495394,2.49259700,0.91100200
1.03333300,0.89512587,2.43919431,0.84721149
1.05000000,0.92296130,2.38288391,0.78469011
1.06666700,0.95123451,2.32274216,0.72571859
1.08333300,0.98278462,2.25624758,0.66949522
1.10000000,1.01549293,2.18348669,0.61477315
1.11666700,1.05063335,2.10203305,0.56103122
1.13333300,1.08641842,2.01306983,0.50856192
1.15000000,1.12555635,1.91670739,0.45856880
1.16666700,1.15977639,1.82812272,0.41021472
1.18333300,1.19362637,1.74359666,0.36318396
1.20000000,1.22969568,1.65891410,0.31635868
1.21666700,1.27131035,1.57035505,0.27115061
1.23333300,1.31631214,1.47932805,0.22820204
1.25000000,1.36534760,1.38301420,0.18730334
1.26666700,1.41384860,1.29318497,0.15224702
1.28333300,1.46399673,1.20634888,0.12246837
1.30000000,1.49399884,1.15122447,0.09821197
