t,x,y,z
0.08333333,0.25360866,1.15765140,1.20814372
0.10000000,0.25108818,1.16228253,1.20552442
0.11666670,0.24231229,1.18677466,1.22054063
0.13333330,0.23023250,1.22358615,1.24838845
0.15000000,0.21644631,1.26711942,1.28282300
0.16666670,0.20081377,1.31471044,1.32069039
0.18333330,0.18473503,1.36385606,1.36089729
0.20000000,0.16761485,1.41363082,1.40244035
0.21666670,0.15171238,1.46172377,1.44316088
0.23333330,0.13830631,1.50767772,1.48382498
0.25000000,0.12863930,1.55144411,1.52519302
0.26666670,0.12173690,1.59277781,1.56680694
0.28333330,0.11669504,1.63111183,1.60851955
0.30000000,0.11311112,1.66665998,1.64775924
0.31666670,0.11131874,1.69964041,1.68385557
0.33333330,0.10993536,1.73001114,1.71654054
0.35000000,0.10886992,1.75835976,1.74434667
0.36666670,0.10787377,1.78410049,1.76835720
0.38333330,0.10757249,1.80816947,1.79060395
0.40000000,0.10786273,1.83108245,1.81068799
0.41666670,0.10899559,1.85244750,1.82916721
0.43333330,0.11115609,1.87178266,1.84454551
0.45000000,0.11274999,1.88910476,1.85763271
0.46666670,0.11334865,1.90399832,1.86729672
0.48333330,0.11364762,1.91699082,1.87305606
0.50000000,0.11347252,1.92839967,1.87467091
0.51666670,0.11293688,1.93829935,1.87239011
0.53333330,0.11118875,1.94650233,1.86679542
0.55000000,0.10912194,1.95348009,1.85723604
0.56666670,0.10692543,1.95928226,1.84483035
0.58333330,0.10524247,1.96469372,1.82942077
0.60000000,0.10405973,1.96950709,1.81109102
0.61666670,0.10373848,1.97462025,1.79170798
0.63333330,0.10319719,1.97865098,1.76969657
0.65000000,0.10105159,1.98107257,1.74466230
0.66666670,0.09719360,1.98111588,1.71735231
0.68333330,0.09354406,1.98021139,1.68648304
0.70000000,0.08927496,1.97786865,1.65230959
0.71666670,0.08407680,1.97324568,1.61647124
0.73333330,0.07781044,1.96745132,1.58017061
0.75000000,0.07136571,1.96043500,1.54375226
0.76666670,0.06487800,1.95113225,1.50403194
0.78333330,0.05894556,1.93977947,1.46119365
0.80000000,0.05370879,1.92646856,1.41547093
0.81666670,0.04931885,1.91141194,1.36653929
0.83333330,0.04605432,1.89494997,1.31636956
0.85000000,0.04417403,1.87648046,1.26473455
0.86666670,0.04310694,1.85433054,1.21207281
0.88333330,0.04312982,1.82833881,1.15781860
0.90000000,0.04329201,1.79801629,1.10188720
0.91666670,0.04414415,1.76363968,1.04562989
0.93333330,0.04516490,1.72431442,0.99070639
0.95000000,0.04649080,1.68151877,0.93754527
0.96666670,0.04955039,1.63351274,0.88288690
0.98333330,0.05601007,1.57937830,0.82298135
1.00000000,0.06426262,1.52273837,0.76457945
1.01666700,0.07448038,1.46332386,0.70685358
1.03333300,0.08680409,1.40244548,0.64915851
1.05000000,0.10198262,1.34105590,0.59357674
1.06666700,0.11981173,1.27930954,0.53979021
1.08333300,0.13765536,1.22027004,0.49015764
1.10000000,0.15541771,1.16593614,0.44631323
1.11666700,0.16997376,1.12189421,0.41031044
1.13333300,0.17967274,1.09119668,0.38305598
