t,x,y,z,vx,vy,vz,speed
0.00000000,0.28060870,1.02190062,1.29859720,-1.68757401,8.29516773,4.44149783,9.55953015
0.01666700,0.22717908,1.19148780,1.37321772,-1.47773277,7.57592118,4.14013356,8.75893725
0.03333400,0.20092342,1.29889019,1.42770090,-1.26789152,6.85667464,3.83876929,7.95975412
0.05000100,0.18479681,1.41325352,1.49513946,-1.05805028,6.13742809,3.53740502,7.16245267
0.06666800,0.17668817,1.50715573,1.54993861,-0.84820904,5.41818154,3.23604075,6.36773975
0.08333500,0.16914279,1.57937874,1.59981360,-0.63836779,4.69893499,2.93467648,5.57672211
0.10000200,0.16727787,1.65341963,1.65660552,-0.38582380,4.03401695,2.65992190,4.84740521
0.11666900,0.15858295,1.70896004,1.69784983,-0.21998473,3.54757260,2.41196743,4.29549200
0.13333600,0.15362484,1.75193921,1.72961379,-0.07411757,3.09589004,2.10950453,3.74700386
0.15000300,0.15087478,1.79627091,1.75765226,0.07976793,2.74133660,1.88405708,3.32730527
0.16667000,0.14832603,1.84168662,1.78355388,0.21453597,2.45950982,1.68437484,2.98870086
0.18333700,0.15947597,1.88277970,1.81487456,0.31081810,2.19368619,1.49970835,2.67544242
0.20000400,0.16757252,1.91689256,1.83841230,0.39802634,1.99030726,1.38051759,2.45470503
0.21667100,0.17983482,1.94583689,1.84608458,0.47150945,1.81742883,1.27080853,2.26722804
0.23333800,0.19790914,1.97360496,1.87707460,0.51056088,1.63637164,1.14826980,2.06322759
0.25000500,0.20325211,1.99965957,1.89715008,0.50572093,1.45255075,0.98527988,1.82659075
0.26667200,0.20350757,2.01736067,1.91224827,0.45174977,1.29918733,0.79379000,1.58810206
0.28333900,0.20929126,2.03900483,1.93059316,0.40715907,1.17955342,0.62597434,1.39605467
0.30000600,0.22309520,2.06065711,1.93937420,0.36184891,1.06432576,0.44561041,1.20925291
0.31667300,0.22932218,2.07642259,1.94485803,0.32855326,0.95754160,0.21807183,1.03556191
0.33334000,0.23166790,2.08710785,1.93942831,0.32000908,0.86354804,0.00067063,0.92093511
0.35000700,0.23286989,2.10194435,1.93425138,0.29623109,0.77353737,-0.22973011,0.85958643
0.36667400,0.23983830,2.11705193,1.93548679,0.23976698,0.66097065,-0.46916191,0.84527115
0.38334100,0.24593110,2.12458660,1.92676282,0.19558838,0.58321155,-0.61825200,0.87213878
0.40000800,0.25129346,2.13448822,1.91792847,0.20404284,0.53880352,-0.72697260,0.92759467
0.41667500,0.25297172,2.14358679,1.89882633,0.24778142,0.49816223,-0.83331689,1.00198717
0.43334200,0.25198683,2.14777805,1.87431951,0.25374347,0.44019460,-0.96671248,1.09210350
0.45000900,0.24944208,2.14788971,1.84832411,0.23171407,0.37844194,-1.10452734,1.19033203
0.46667600,0.25619333,2.16078558,1.84665137,0.21124860,0.31888300,-1.24806417,1.30536452
0.48334300,0.26830819,2.17138795,1.83412820,0.17360912,0.23547001,-1.43737516,1.46684478
0.50001000,0.28281618,2.17599671,1.80736974,0.13472779,0.14111745,-1.63535796,1.64695518
0.51667700,0.27684845,2.17673611,1.77646874,0.09010597,0.04762219,-1.86079874,1.86358764
0.53334400,0.27417843,2.17547008,1.74846871,0.02599251,-0.06524217,-2.14522240,2.14637166
0.55001100,0.27465150,2.17285052,1.70773158,-0.03629841,-0.21406063,-2.47013206,2.47965561
0.56667800,0.26800552,2.16622197,1.65586512,-0.10749390,-0.31519510,-2.67771270,2.69834175
0.58334500,0.26553021,2.15865584,1.60910707,-0.14953186,-0.38021195,-2.78870469,2.81847384
0.60001200,0.26425876,2.15288543,1.56019722,-0.14529791,-0.44346234,-2.88878888,2.92623846
0.61667900,0.26055096,2.14261350,1.50025210,-0.13668645,-0.51110358,-2.98989158,3.03634019
0.63334600,0.26598576,2.12826317,1.44178794,-0.11850645,-0.58610210,-3.05139195,3.10942958
0.65001300,0.25792793,2.12634730,1.40550949,-0.09924965,-0.66519000,-3.08990142,3.16224904
0.66668000,0.25442832,2.11998018,1.36772547,-0.09655098,-0.76804681,-3.14489919,3.23876657
0.68334700,0.25120947,2.10481584,1.31055468,-0.10167233,-0.88436922,-3.16918420,3.29183454
0.70001400,0.25365452,2.08808238,1.24789941,-0.11136764,-1.01597874,-3.20497679,3.36399938
0.71668100,0.25572829,2.06917313,1.19030672,-0.11888477,-1.17930094,-3.28365513,3.49102783
0.73334800,0.25186541,2.04955775,1.13598904,-0.11734639,-1.39053779,-3.41315486,3.68740988
0.75001500,0.24921194,2.02413802,1.07783446,-0.14606768,-1.59795379,-3.50292045,3.85295260
0.76668200,0.24555620,1.99986309,1.02959955,-0.17911219,-1.78725958,-3.54206835,3.97147657
0.78334900,0.24140998,1.96942365,0.96817033,-0.19186327,-1.96669962,-3.56823100,4.07884682
0.80001600,0.24208827,1.93342940,0.90597401,-0.16962604,-2.16138567,-3.59111995,4.19481865
0.81668300,0.23519439,1.89124392,0.83864051,-0.09674346,-2.37120158,-3.60957338,4.31983521
0.83335000,0.22761008,1.84754012,0.77611464,-0.01476055,-2.58629710,-3.61670080,4.44631029
0.85001700,0.22416083,1.80605977,0.71413669,0.08278286,-2.83409407,-3.61620982,4.59520572
0.86668400,0.22941102,1.76509041,0.65678523,0.16975328,-3.10555904,-3.57413222,4.73790400
0.88335100,0.23494657,1.71163516,0.60241805,0.24727929,-3.42857111,-3.53175487,4.92844188
0.90001800,0.24728680,1.65348909,0.54405939,0.32599181,-3.79946110,-3.48557802,5.16637488
0.91668500,0.25357081,1.59195484,0.48414409,0.39253316,-4.24843961,-3.45796854,5.49189110
0.93335200,0.26280168,1.51894717,0.42635407,0.45788020,-4.68417329,-3.44029675,5.82981779
0.95001900,0.26602968,1.43836046,0.36918861,0.53319164,-5.15313036,-3.41870044,6.20697660
0.96668600,0.27163682,1.34368629,0.31093140,0.62612220,-5.54552205,-3.37714184,6.52303080
0.98335300,0.27730330,1.24417633,0.25551237,0.73978452,-5.96048622,-3.32144590,6.86343063
1.00002000,0.28815611,1.12831526,0.19941207,0.85344685,-6.37545039,-3.26574996,7.21386595
1.01668700,0.30741170,1.03303063,0.14295354,0.96710917,-6.79041456,-3.21005401,7.57294373
1.03335400,0.33116482,0.90772299,0.09213388,1.08077150,-7.20537873,-3.15435807,7.93949145
1.05002100,0.35272586,0.80529340,0.04387472,1.19443382,-7.62034289,-3.09866213,8.31252097
