ax,ay,az,speed,t,vx,vy,vz,x,y,z
-4.22499422,-8.54992433,-11.13140533,5.72282177,0.01666667,0.85094356,3.84729197,4.15029259,0.07743025,0.89512917,0.93584843
-4.22514116,-8.55036375,-11.13134775,5.48200162,0.03333333,0.78046258,3.70427829,3.96504002,0.08599581,0.96770180,0.99569761
-4.22520997,-8.55083662,-11.13137800,5.24141406,0.05000000,0.71014540,3.56109074,3.77978142,0.08853091,1.04196153,1.05589424
-4.22531933,-8.55137944,-11.13154403,5.00093482,0.06666667,0.63985298,3.41761092,3.59442246,0.09248888,1.12181001,1.11834548
-4.22555617,-8.55187042,-11.13185448,4.76067983,0.08333333,0.56942507,3.27403434,3.40888936,0.10335552,1.19521163,1.18341481
-4.22566343,-8.55221641,-11.13209130,4.52104651,0.10000000,0.49919089,3.13059529,3.22335898,0.10478133,1.25293920,1.24236342
-4.22575843,-8.55250455,-11.13215742,4.28215067,0.11666670,0.42904534,2.98721175,3.03797637,0.10413963,1.30384430,1.29129811
-4.22584816,-8.55273333,-11.13238742,4.04391273,0.13333330,0.35898785,2.84392437,2.85244667,0.10179330,1.34775725,1.34368296
-4.22596546,-8.55295064,-11.13266707,3.80644744,0.15000000,0.28897367,2.70066773,2.66682023,0.09974916,1.38945619,1.39494309
-4.22612431,-8.55313542,-11.13306291,3.56987967,0.16666670,0.21896842,2.55748831,2.48099723,0.09883575,1.42674471,1.44780455
-4.22635990,-8.55330929,-11.13344445,3.33446019,0.18333330,0.14889582,2.41435751,2.29506703,0.10125843,1.46172096,1.49708397
-4.22649087,-8.55348486,-11.13363245,3.10059507,0.20000000,0.07899970,2.27124903,2.10923604,0.09546584,1.49557557,1.53561951
-4.22674766,-8.55363670,-11.13380484,2.86858913,0.21666670,0.00898461,2.12821006,1.92339408,0.09604875,1.52566335,1.57059248
-4.22701357,-8.55375638,-11.13429033,2.63871387,0.23333330,-0.06103676,1.98527284,1.73717504,0.09559788,1.55103515,1.61527215
-4.22734620,-8.55386913,-11.13471644,2.41179858,0.25000000,-0.13115682,1.84240406,1.55084415,0.09778791,1.57412124,1.65475530
-4.22768541,-8.55396236,-11.13507585,2.18882562,0.26666670,-0.20131768,1.69963335,1.36443222,0.09883513,1.59352630,1.68883386
-4.22802336,-8.55404298,-11.13528047,1.97121159,0.28333330,-0.27150821,1.55695945,1.17806439,0.09827608,1.60981032,1.71402241
-4.22849878,-8.55413011,-11.13539681,1.76092221,0.30000000,-0.34194437,1.41434968,0.99173387,0.10498898,1.62476418,1.73302568
-4.22885766,-8.55421099,-11.13536812,1.56090913,0.31666670,-0.41230784,1.27182638,0.80554156,0.10292356,1.63696344,1.74355583
-4.22915880,-8.55428764,-11.13522365,1.37559138,0.33333330,-0.48262036,1.12939131,0.61951958,0.09583548,1.64647366,1.74675286
-4.22944371,-8.55438636,-11.13511193,1.21154117,0.35000000,-0.55291108,0.98699216,0.43355257,0.08635843,1.65582266,1.74853737
-4.22982061,-8.55450676,-11.13519309,1.07849495,0.36666670,-0.62333930,0.84461376,0.24744104,0.08138006,1.66486441,1.75531992
-4.23023811,-8.55466220,-11.13545149,0.98909165,0.38333330,-0.69387884,0.70221116,0.06110590,0.07769442,1.67487905,1.76648919
-4.23059316,-8.55482996,-11.13566696,0.95570823,0.40000000,-0.76439203,0.55980727,-0.12529506,0.06880878,1.68353429,1.77323771
-4.23110213,-8.55501521,-11.13576277,0.98431298,0.41666670,-0.83518336,0.41738273,-0.31166080,0.06853609,1.69133247,1.77252214
-4.23156109,-8.55521011,-11.13570856,1.06976036,0.43333330,-0.90602662,0.27494220,-0.49790539,0.06403802,1.69747867,1.76313238
-4.23192851,-8.55543268,-11.13555830,1.19984301,0.45000000,-0.97682958,0.13243972,-0.68402262,0.05274581,1.70381044,1.74721828
-4.23237307,-8.55565560,-11.13534787,1.36195405,0.46666670,-1.04780645,-0.01008672,-0.87001077,0.04543369,1.70760152,1.72617725
-4.23283433,-8.55588674,-11.13509452,1.54600021,0.48333330,-1.11891292,-0.15265401,-1.05586329,0.03836046,1.70969044,1.70064228
-4.23334189,-8.55613844,-11.13483808,1.74510467,0.50000000,-1.19021177,-0.29529595,-1.24160644,0.03352480,1.71137486,1.67214732
-4.23385819,-8.55640251,-11.13459348,1.95467429,0.51666670,-1.26167940,-0.43801265,-1.42725667,0.02868148,1.71190604,1.64122604
-4.23413442,-8.55667431,-11.13451112,2.17158806,0.53333330,-1.33293742,-0.58080604,-1.61299004,0.00811610,1.71090559,1.61388206
-4.23438088,-8.55693320,-11.13409824,2.39360882,0.55000000,-1.40418017,-0.72363991,-1.79832882,-0.01481624,1.70638457,1.57023109
-4.23474355,-8.55719902,-11.13374814,2.61971005,0.56666670,-1.47562689,-0.86655027,-1.98355656,-0.03081182,1.70043586,1.52600803
-4.23504253,-8.55747293,-11.13368040,2.84902825,0.58333330,-1.54707217,-1.00954975,-2.16894882,-0.05123209,1.69327885,1.48998006
-4.23532829,-8.55775629,-11.13376100,3.08090610,0.60000000,-1.61856595,-1.15265363,-2.35448854,-0.07282811,1.68517141,1.45674677
-4.23555240,-8.55802187,-11.13369851,3.31459393,0.61666670,-1.69003276,-1.29581668,-2.53991758,-0.09864317,1.67348849,1.41459321
-4.23569429,-8.55828747,-11.13363206,3.54977211,0.63333330,-1.76141150,-1.43907062,-2.72532335,-0.12998758,1.66014844,1.36911278
-4.23585117,-8.55854685,-11.13352880,3.78618583,0.65000000,-1.83281373,-1.58241044,-2.91066559,-0.16070595,1.64464804,1.31896862
-4.23608084,-8.55880005,-11.13347309,4.02373060,0.66666670,-1.90434763,-1.72584086,-3.09602024,-0.18711049,1.62712320,1.26753818
-4.23628619,-8.55905932,-11.13370597,4.26242868,0.68333330,-1.97591288,-1.86939467,-3.28168098,-0.21532659,1.60895123,1.22453776
-4.23662034,-8.55929716,-11.13385292,4.50201800,0.70000000,-2.04774630,-2.01302916,-3.46736423,-0.23555136,1.58750944,1.17495071
-4.23676940,-8.55951200,-11.13389325,4.74215158,0.71666670,-2.11944199,-2.15673647,-3.65300631,-0.26763757,1.56278004,1.11798613
-4.23696081,-8.55968494,-11.13388921,4.98285391,0.73333330,-2.19125837,-2.30047017,-3.83862695,-0.29710356,1.53297764,1.05616709
-4.23694531,-8.55979726,-11.13374270,5.22376646,0.75000000,-2.26283907,-2.44416850,-4.02409439,-0.33976797,1.49629307,0.98553820
-4.23705764,-8.55986756,-11.13367885,5.46515480,0.76666670,-2.33459741,-2.58783548,-4.20959374,-0.37438917,1.45463417,0.91513511
-4.23679593,-8.55983123,-11.13343197,5.70638926,0.78333330,-2.40582867,-2.73130692,-4.39486397,-0.43289915,1.40144153,0.83423139
-4.23662920,-8.55974527,-11.13314648,5.94772942,0.80000000,-2.47705366,-2.87462910,-4.57997794,-0.48566813,1.34234462,0.74857400
-4.23616729,-8.55956329,-11.13299443,6.18897691,0.81666670,-2.54771861,-3.01766651,-4.76510797,-0.55766294,1.27245797,0.66502116
-4.23590771,-8.55938963,-11.13317175,6.43064615,0.83333330,-2.61843101,-3.16057255,-4.95053634,-0.61752024,1.20205762,0.59144247
-4.23551233,-8.55917326,-11.13342204,6.67239063,0.85000000,-2.68877896,-3.30324462,-5.13613078,-0.68690400,1.12571663,0.51756735
-4.23523783,-8.55894093,-11.13358143,6.91421408,0.86666670,-2.75908273,-3.44570523,-5.32174166,-0.74972037,1.04583455,0.43686520
-4.23526468,-8.55878366,-11.13369640,7.15633537,0.88333330,-2.82969686,-3.58813821,-5.50737830,-0.79458908,0.97132070,0.35125315
