track,i,ax,ay,az,speed,t,vx,vy,vz,x,y,z
track1,1,1.87732396,-6.59433344,-4.20734673,4.84171175,0,-0.2583567,4.02304182,2.68152178,0.15059465,1.07215457,0.93222695
track1,2,1.89565408,-6.73565816,-4.46416163,4.70560256,0.0166666,-0.2267624,3.91078062,2.60711894,0.14655198,1.13826989,0.97629904
track1,3,1.92580493,-6.88902301,-4.63586291,4.56589484,0.0333333,-0.19466559,3.79596334,2.5298544,0.14304007,1.20249289,1.01910724
track1,4,1.96380645,-7.0478961,-4.75173148,4.42304194,0.05,-0.16193541,3.67849817,2.45065872,0.14006839,1.26478019,1.0606116
track1,5,2.00534734,-7.20910619,-4.83745444,4.2773129,0.0666666,-0.12851289,3.55834616,2.37003432,0.13764798,1.32508735,1.10078412
track1,6,2.04512987,-7.37018373,-4.91382003,4.12882717,0.0833333,-0.09442732,3.43550952,2.28813715,0.13579015,1.38336959,1.1396023
track1,7,2.0768586,-7.52742595,-5.00196908,3.97756677,0.1,-0.05981295,3.31005217,2.20477083,0.13450481,1.43958272,1.17704327
track1,8,2.09344072,-7.67615334,-5.12255095,3.82339089,0.1166666,-0.0249222,3.18211603,2.11939481,0.13379868,1.49368423,1.21307806
track1,9,2.08771638,-7.81111653,-5.29853907,3.66601775,0.1333333,0.00987315,3.05193049,2.03108565,0.13367327,1.54563472,1.24766546
track1,10,2.05371176,-7.92545323,-5.55100283,3.50506142,0.15,0.04410174,2.91983934,1.93856875,0.13412306,1.59539957,1.28074598
track1,11,1.98737676,-8.01120789,-5.88785493,3.34017179,0.1666666,0.07722476,2.78631894,1.84043764,0.13513412,1.64295098,1.31223776
track1,12,1.8885824,-8.06202883,-6.30508681,3.17113728,0.1833333,0.10870119,2.65195152,1.73535265,0.13668351,1.68826999,1.34203608
track1,13,1.76064114,-8.07566193,-6.79078757,2.99793033,0.2,0.13804527,2.51735689,1.62217263,0.13873973,1.73134765,1.37001551
track1,14,1.60794008,-8.05387518,-7.32322809,2.82078286,0.2166666,0.16484432,2.38312537,1.50011859,0.14126381,1.77218508,1.39603466
track1,15,1.43584596,-8.00082046,-7.87768675,2.64023018,0.2333333,0.18877514,2.24977809,1.36882354,0.14421065,1.81079269,1.41994255
track1,16,1.25066142,-7.92144224,-8.4323458,2.45713318,0.25,0.20961954,2.11775379,1.22828417,0.14753061,1.84718886,1.44158516
track1,17,1.05932907,-7.82064945,-8.96262024,2.27277143,0.2666666,0.22727506,1.98740937,1.07890686,0.15117141,1.88139862,1.46081179
track1,18,0.86740614,-7.70377762,-9.44251265,2.08891909,0.2833333,0.24173185,1.85901282,0.92153134,0.15507981,1.91345221,1.47748214
track1,19,0.6790366,-7.57665412,-9.85307631,1.90785942,0.3,0.25304915,1.732735,0.75731307,0.15920299,1.9433835,1.49147254
track1,20,0.4988069,-7.44528983,-10.18539933,1.73241924,0.3166666,0.26136262,1.60864659,0.58755608,0.16348976,1.9712284,1.50267981
track1,21,0.33214417,-7.31590196,-10.44500104,1.56605063,0.3333333,0.26689837,1.48671465,0.41347238,0.16789195,1.99702313,1.51102173
track1,22,0.18520622,-7.19468614,-10.64795898,1.41306093,0.35,0.26998514,1.36680297,0.23600604,0.17236598,2.02080249,1.51643406
track1,23,0.06519192,-7.0872411,-10.80589361,1.2789888,0.3666666,0.27107168,1.24868205,0.05590745,0.1768748,2.04259824,1.51886668
track1,24,-0.02192719,-6.99899114,-10.92225881,1.17076349,0.3833333,0.27070622,1.13203196,-0.12613056,0.18138963,2.06243757,1.51828148
track1,25,-0.07301607,-6.93598511,-10.99802033,1.09613236,0.4,0.26948929,1.01643198,-0.30943126,0.18589126,2.08034147,1.51465179
track1,26,-0.08648143,-6.90453985,-11.03310607,1.06191049,0.4166666,0.26804793,0.90135609,-0.49331673,0.19037075,2.09632307,1.50796221
track1,27,-0.06193475,-6.9103387,-11.02559429,1.07136138,0.4333333,0.26701568,0.78618355,-0.67707701,0.19482962,2.11038592,1.49820891
track1,28,-0.00029982,-6.9578756,-10.97059965,1.12247559,0.45,0.26701068,0.67021872,-0.8599207,0.19927985,2.12252263,1.48540057
track1,29,0.09625307,-7.05032186,-10.86470786,1.20885308,0.4666666,0.2686149,0.55271312,-1.04099952,0.20374341,2.13271375,1.46955954
track1,30,0.22543602,-7.18920732,-10.70718917,1.32236472,0.4833333,0.27237218,0.43289276,-1.21945303,0.20825164,2.14092715,1.4507224
track1,31,0.38525571,-7.37410066,-10.49700812,1.45539723,0.5,0.27879312,0.30999084,-1.39440352,0.21284469,2.14711786,1.42894022
track1,32,0.57289467,-7.6032207,-10.23535628,1.60185275,0.5166666,0.28834138,0.18327024,-1.56499313,0.21757082,2.15122838,1.40427853
track1,33,0.78446356,-7.87414322,-9.92296748,1.75720261,0.5333333,0.3014158,0.05203425,-1.73037625,0.22248548,2.15318925,1.37681706
track1,34,1.01586581,-8.18366888,-9.55997812,1.9181928,0.55,0.31834693,-0.0843605,-1.88970954,0.22765018,2.15291987,1.34664962
track1,35,1.26320358,-8.52747393,-9.15219068,2.08260856,0.5666666,0.33940037,-0.22648535,-2.04224636,0.23313142,2.15032948,1.31388325
track1,36,1.52269523,-8.90000256,-8.71200209,2.24910555,0.5833333,0.36477867,-0.37481902,-2.18744668,0.23899959,2.1453186,1.27863574
track1,37,1.79014185,-9.29476211,-8.25296866,2.41701158,0.6,0.39461443,-0.52973203,-2.32499644,0.24532787,2.13778066,1.24103197
track1,38,2.06115254,-9.70472287,-7.78671537,2.58613145,0.6166666,0.42896704,-0.69147774,-2.45477528,0.25219107,2.12760389,1.20120046
track1,39,2.33126126,-10.12236273,-7.31822696,2.75651836,0.6333333,0.46782147,-0.86018412,-2.57674598,0.25966432,2.11467335,1.15927104
track1,40,2.5951967,-10.53992613,-6.84432394,2.92825639,0.65,0.51107484,-1.03584991,-2.69081827,0.2678218,2.09887303,1.11537458
track1,41,2.84674383,-10.94949599,-6.36207373,3.10140117,0.6666666,0.55852066,-1.21834187,-2.79685305,0.27673512,2.08008807,1.06964389
track1,42,3.07947438,-11.34281606,-5.87342674,3.27600315,0.6833333,0.60984534,-1.40738919,-2.89474369,0.28647152,2.05820693,1.02221383
track1,43,3.28780433,-11.71189016,-5.38405765,3.45212204,0.7000003,0.66464219,-1.60258775,-2.98447816,0.29709227,2.03312374,0.97322021
track1,44,3.46916946,-12.04966384,-4.90705687,3.62990719,0.7166663,0.72246179,-1.80341588,-3.06626261,0.30865149,2.00474032,0.92279727
track1,45,3.62450747,-12.3502874,-4.45873353,3.80961947,0.7333333,0.78287037,-2.00925441,-3.14057498,0.32119595,1.972968,0.87107352
track1,46,3.75680037,-12.60971181,-4.04840559,3.99151961,0.7500003,0.84548384,-2.2194167,-3.20804854,0.3347656,1.93772901,0.81816822
track1,47,3.87081636,-12.82650044,-3.67964347,4.17580403,0.7666663,0.90999757,-2.43319213,-3.26937606,0.34939464,1.89895719,0.76418957
