t,x,y,z,vx,vy,vz,ax,ay,az
0.00000000,0.05991113,1.63034616,1.08666576,0.61528867,1.20652935,-0.01046853,-1.94606366,157.91830055,90.44381017
0.00827957,0.06485296,1.62946541,1.08468611,0.59288916,1.59798546,0.35801453,-2.09792987,135.79059318,81.25606749
0.01655914,0.06968663,1.63655260,1.08612286,0.57048966,1.98944156,0.72649758,-2.24979607,113.66288581,72.06832481
0.02483871,0.07432100,1.65688408,1.09350842,0.54809016,2.38089767,1.09498064,-2.40166228,91.53517844,62.88058213
0.03311828,0.07873577,1.68454206,1.10569866,0.52569065,2.77235378,1.46346370,-2.55352849,69.40747106,53.69283945
0.04139785,0.08294589,1.71255863,1.12096242,0.50329115,3.16380988,1.83194676,-2.70539469,47.27976369,44.50509677
0.04967742,0.08703940,1.74200726,1.13916251,0.48239985,3.51023459,2.16978842,-2.62622041,27.58268666,36.52494511
0.05795699,0.09106962,1.77511385,1.16031902,0.46407228,3.72065669,2.45645938,-2.28767605,12.50919586,29.01724012
0.06623656,0.09484522,1.80951498,1.18322238,0.44831775,3.80950738,2.68409663,-1.87690265,4.27614719,23.27195995
0.07451613,0.09820487,1.84227655,1.20666841,0.43537778,3.83985651,2.86438555,-1.42930473,-0.32085589,18.66880491
0.08279570,0.10144903,1.87382454,1.23109328,0.42655047,3.85464976,3.00821451,-0.84039529,-3.16453457,14.71848771
0.09107527,0.10491359,1.90530328,1.25716110,0.42402729,3.85259859,3.11936034,0.03831044,-3.31734877,11.56974370
0.09935484,0.10845087,1.93657866,1.28431497,0.43108878,3.83310234,3.20302507,1.28327254,-1.31728689,9.07655121
0.10763441,0.11183872,1.96735238,1.31176362,0.45166678,3.81605679,3.26778639,2.86217244,0.58881874,6.65240845
0.11591398,0.11522057,1.99845847,1.33940458,0.48791610,3.81499571,3.31754507,4.75696121,1.32457829,4.15011308
0.12419355,0.11885189,2.03075026,1.36731432,0.53658926,3.81989441,3.34865520,6.73275987,1.07543008,2.04193284
0.13247312,0.12297126,2.06330379,1.39536769,0.59220319,3.81555984,3.35948110,8.22562074,-0.29680458,0.44615536
0.14075269,0.12780998,2.09493684,1.42340294,0.65390274,3.79975439,3.35462495,8.94580572,-2.54564522,-1.04917869
0.14903226,0.13358987,2.12624124,1.45141995,0.72294328,3.77710640,3.33817683,9.09628689,-4.52639189,-2.66061337
0.15731183,0.14041774,2.15809694,1.47942336,0.79345546,3.74301052,3.31075484,8.59647201,-5.67709987,-4.20894026
