t,x,y,z
0,0.312377867,0.946621167,1.151512
0.01666667,0.382829067,0.986514167,1.1803714
0.03333333,0.254851733,1.266079967,1.2200531
0.05,0.257241933,1.311210283,1.2958091
0.06666667,0.254135633,1.33190715,1.3679577
0.08333333,0.255471567,1.359882833,1.4148543
0.1,0.2676311,1.468806517,1.4978251
0.1166667,0.2747092,1.5253971,1.5483291
0.1333333,0.2629298,1.601380733,1.5627588
0.15,0.2647847,1.632525233,1.6421223
0.1666667,0.275878467,1.758535717,1.681804
0.1833333,0.2800642,1.771537483,1.7214857
0.2,0.278025633,1.787581667,1.782812
0.2166667,0.282342433,1.805544233,1.8369234
0.2333333,0.3078555,1.86329435,1.8621754
0.25,0.330441533,1.887277217,1.9018571
0.2666667,0.339180267,1.917795217,1.934324
0.2833333,0.337753767,1.921133267,1.959576
0.3,0.3453429,1.982020033,2.002865
0.3166667,0.348714733,1.99926475,1.9956503
0.3333333,0.348712933,2.014021583,2.028117
0.35,0.345007,2.019718267,2.020463
0.3666667,0.4052921,2.060095333,2.048528
0.3833333,0.3660296,2.061447333,2.079146
0.4,0.407590367,2.0901165,2.084248
0.4166667,0.3947288,2.0987785,2.117417
0.4333333,0.4398247,2.1214825,2.107211
0.45,0.435915667,2.126673167,2.089351
0.4666667,0.434013833,2.1358485,2.089351
0.4833333,0.440666033,2.143465333,2.074043
0.5,0.440643667,2.1473885,2.048528
0.5166667,0.435464767,2.148416333,2.017911
0.5333333,0.442250833,2.160372833,2.002603
0.55,0.4461064,2.162996833,1.9796401
0.5666667,0.478113733,2.177167,1.9413687
0.5833333,0.4713529,2.1674985,1.900546
0.6,0.5064896,2.175655667,1.8367604
0.6166667,0.498528533,2.170529333,1.8291061
0.6333333,0.5372293,2.1784395,1.8137976
0.65,0.5378669,2.164980333,1.7627691
0.6666667,0.5402597,2.165932,1.7193949
0.6833333,0.541604667,2.157498333,1.6632636
0.7,0.5440132,2.1463595,1.5994781
0.7166667,0.5449625,2.130255333,1.5484496
0.7333333,0.565844533,2.106907667,1.4770098
0.75,0.569190367,2.1047105,1.4412898
0.7666667,0.647615533,2.069166,1.36985
0.7833333,0.642837233,2.064362733,1.3290272
0.8,0.645908467,2.0290242,1.2499331
0.8166667,0.645026567,2.000113217,1.1606333
0.8333333,0.7005821,1.964302367,1.1351191
0.85,0.701071067,1.936901033,1.07133353
0.8666667,0.742785367,1.8662472,1.002445114
0.8833333,0.748521733,1.838705733,0.92590243
0.9,0.839996767,1.678642933,0.8519112
0.9166667,0.844000633,1.644150517,0.7728171
0.9333333,0.927495,1.536897267,0.7141343
0.95,0.92371,1.5026253,0.6605544
0.9666667,1.0491295,1.382849967,0.5751449
0.9833333,1.043616767,1.34916875,0.4915669
1,1.043541467,1.290600733,0.4176325
1.016667,1.052045567,1.26544005,0.3501271
1.033333,1.183671,1.091720472,0.2986945
1.05,1.186847333,1.056758355,0.2344037
