t,x,y,z
0.81666670,0.28060870,1.02190062,1.29859720
0.83359791,0.24155551,1.14072961,1.34933936
0.85052912,0.21773847,1.22189483,1.38673039
0.86746033,0.21461366,1.25958834,1.41165182
0.88439154,0.21185973,1.32199379,1.45333658
0.90132276,0.21006626,1.37695718,1.48734617
0.91825397,0.20582873,1.42772981,1.52345724
0.93518518,0.20326613,1.48643620,1.56716898
0.95211639,0.19534215,1.53729181,1.60327768
0.96904760,0.18973051,1.58386063,1.63563560
0.98597881,0.18463667,1.63315069,1.66621766
1.00291002,0.18134110,1.68352226,1.69646409
1.01984123,0.18693567,1.73076914,1.73020992
1.03677244,0.19100004,1.77282548,1.75542632
1.05370366,0.20038056,1.81087231,1.77424001
1.07063487,0.21214564,1.84748853,1.80660538
1.08756608,0.21506852,1.88028046,1.82890418
1.10449729,0.21629590,1.90748385,1.85001605
1.12142850,0.22305797,1.93682317,1.87049315
1.13835971,0.23307546,1.96381699,1.88394567
1.15529092,0.23750997,1.98500500,1.89264289
1.17222213,0.23960798,2.00346313,1.89300120
1.18915334,0.24258655,2.02439523,1.89559944
1.20608456,0.24867932,2.04200113,1.89762959
1.22301577,0.25391468,2.05541651,1.89338300
1.23994698,0.25794741,2.06999727,1.88597931
1.25687819,0.25925573,2.08207363,1.87037832
1.27380940,0.25792289,2.08847980,1.84878404
1.29074061,0.25886442,2.09729787,1.83529212
1.30767182,0.26611512,2.11210370,1.83091243
1.32460303,0.27858259,2.12243899,1.81381524
1.34153424,0.28360556,2.12864858,1.78842837
1.35846546,0.27967228,2.13200967,1.76298239
1.37539667,0.28061144,2.13377013,1.73338917
1.39232788,0.27816218,2.13267207,1.69102451
1.40925909,0.27404454,2.12858713,1.64593454
1.42619030,0.27312663,2.12492521,1.60210245
1.44312151,0.26954097,2.11989976,1.55054524
1.46005272,0.27139851,2.10902324,1.49256279
1.47698393,0.26900301,2.10350135,1.44673838
1.49391514,0.26375643,2.10075754,1.40941529
1.51084636,0.26052115,2.09061226,1.36003308
1.52777757,0.25997051,2.07704439,1.30086034
1.54470878,0.26187872,2.06135721,1.24266777
1.56163999,0.25972987,2.04461459,1.18807266
1.57857120,0.25681875,2.02332227,1.13004957
1.59550241,0.25395290,2.00108830,1.07838070
1.61243362,0.24963385,1.97514469,1.02067016
1.62936483,0.24906786,1.94374413,0.95918864
1.64629604,0.24456757,1.90650588,0.89381665
1.66322726,0.23757476,1.86596894,0.83000163
1.68015847,0.23266982,1.82565466,0.76705153
1.69708968,0.23473658,1.78630689,0.70682037
1.71402089,0.23806955,1.73785354,0.64988015
1.73095210,0.24719690,1.68333889,0.59074585
1.74788331,0.25318591,1.62560202,0.52987884
1.76481452,0.26122181,1.55809581,0.47037542
1.78174573,0.26537153,1.48310763,0.41167230
1.79867694,0.27069337,1.39529044,0.35210584
1.81560816,0.27623089,1.30167939,0.29463566
1.83253937,0.28552986,1.19255410,0.23701979
1.84947058,0.30178373,1.09688733,0.17905841
1.86640179,0.32258844,0.97786795,0.12546504
1.88333300,0.34268860,0.87358478,0.07435849
