x,y,z
0.08488365,1.15540597,0.853284
0.078135733,1.215279187,0.8822103
0.087347523,1.591266867,0.96577546
0.09340558,1.642179117,1.03327037
0.108004533,1.845402883,1.1457619
0.098517807,1.890050567,1.1779023
0.112158453,1.94607885,1.2678955
0.105750593,1.971063433,1.3321764
0.094497103,2.085657833,1.3964572
0.100609613,2.125356333,1.457524
0.141799873,2.234124667,1.531447
0.141156227,2.250857167,1.5828717
0.2123401,2.385484167,1.6407245
0.2061309,2.412134167,1.7017913
0.223536667,2.466655667,1.7146475
0.2238523,2.4866085,1.7821424
0.2470151,2.5249195,1.7949986
0.2386351,2.553631167,1.8399952
0.246493333,2.571504333,1.8978479
0.251031167,2.590384833,1.9299884
0.299622233,2.634609667,2.000697
0.2918982,2.650118833,2.047447
0.327928433,2.680306667,2.05389
0.321738133,2.691929833,2.055322
0.360639767,2.741849333,2.097561
0.3639193,2.747303167,2.098277
0.361512833,2.758755333,2.129777
0.362111667,2.7767345,2.140516
0.396426233,2.795860667,2.144812
0.399469167,2.8034295,2.149107
0.431191633,2.8167275,2.14338
0.428884433,2.819987667,2.135505
0.4629202,2.836906167,2.130493
0.463347,2.842478,2.121902
0.4649565,2.849611833,2.131925
0.466055933,2.856520333,2.113311
0.4703026,2.8727045,2.101857
0.478905767,2.881817667,2.096845
0.5039793,2.889509333,2.066061
0.508874267,2.877146,1.9830143
0.563207433,2.885258167,1.9321842
0.566577533,2.898986,1.9550935
0.566473733,2.893091833,1.9128544
0.568038867,2.8850685,1.8756267
0.581138867,2.883753333,1.8426945
0.584515,2.873707667,1.7703868
0.588878933,2.862061833,1.7231363
0.590283633,2.871474167,1.6959314
0.635483667,2.8633235,1.6408058
0.6389427,2.854683333,1.5792369
0.663872133,2.827700333,1.4947586
0.662801133,2.82029,1.4596787
0.729984833,2.7918905,1.4088485
0.733298967,2.792644667,1.3837914
0.733333967,2.756561833,1.3200748
0.7335046,2.734204,1.239892
0.734635633,2.685932,1.1568456
0.758999133,2.665311833,1.1224815
0.7745176,2.605153167,1.02869636
0.781301567,2.5868965,0.98001397
0.877602867,2.5399655,0.90555856
0.919416667,2.465388667,0.8332509
0.919467533,2.418439833,0.7480567
0.919306667,2.383648,0.6972266
0.972021833,2.316413833,0.6535556
0.991936133,2.268086167,0.6041573
1.044890033,2.17499385,0.5475998
1.053559967,2.085112183,0.4831673
1.175333333,1.8372128,0.4416441
1.164016667,1.786031333,0.3965413
1.171946,1.74382685,0.3607454
1.174691667,1.696544233,0.2998924
1.237810333,1.5941101,0.2483463
1.276289333,1.531459383,0.207539
1.370907,1.317662583,0.1287881
1.397494667,1.2629614,0.0994355
1.665503,0.889115185,0.0672192
1.622929,0.766151075,0.042878
